algorithm,n,distribution,run,wall_ns,comparisons,swaps,array_accesses,timestamp,seed
SelectionSort,10000,random,1,50633000,49995000,9993,100029972,2025-09-29T19:11:12.800519100Z,12345
SelectionSort,10000,random,2,50476700,49995000,9989,100029956,2025-09-29T19:11:13.121661100Z,12345
SelectionSort,10000,random,3,32439900,49995000,9988,100029952,2025-09-29T19:11:13.384307900Z,12345
SelectionSort,10000,random,4,32267100,49995000,9992,100029968,2025-09-29T19:11:13.579329100Z,12345
SelectionSort,10000,random,5,37027100,49995000,9989,100029956,2025-09-29T19:11:13.779437100Z,12345
SelectionSort,10000,random,6,32226000,49995000,9992,100029968,2025-09-29T19:11:13.983058100Z,12345
SelectionSort,10000,random,7,32685200,49995000,9989,100029956,2025-09-29T19:11:14.248080800Z,12345
SelectionSort,10000,random,8,32411000,49995000,9987,100029948,2025-09-29T19:11:14.450856500Z,12345
SelectionSort,10000,random,9,32200000,49995000,9994,100029976,2025-09-29T19:11:14.645341800Z,12345
SelectionSort,10000,random,10,32474400,49995000,9991,100029964,2025-09-29T19:11:14.839385400Z,12345
SelectionSort,10000,random,1,50420000,49995000,9993,100029972,2025-09-30T07:30:29.844760500Z,12345
SelectionSort,10000,random,2,50448800,49995000,9989,100029956,2025-09-30T07:30:30.269493800Z,12345
SelectionSort,10000,random,3,32214700,49995000,9988,100029952,2025-09-30T07:30:30.518435200Z,12345
SelectionSort,10000,random,4,32293800,49995000,9992,100029968,2025-09-30T07:30:30.715830Z,12345
SelectionSort,10000,random,5,32257700,49995000,9989,100029956,2025-09-30T07:30:30.922582300Z,12345
